,Name,SeasonWins,Points,FGM,FGM3,FTA,Off Rebounds,Def Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,YearsExp,Conf_Champs,WSeed,TourneyWins
0,Arizona St,22,77.8125,26.59375,7.25,25.90625,12.15625,27.8125,13.59375,13.59375,6.21875,3.21875,19.90625,35.0,0,11,1
1,Auburn,25,78.88235294117646,27.029411764705884,11.411764705882353,18.735294117647058,11.735294117647058,21.941176470588236,14.411764705882353,12.147058823529411,9.294117647058824,4.764705882352941,18.38235294117647,35.0,1,5,4
2,Baylor,19,71.65625,25.5,7.9375,18.875,13.375,24.59375,13.84375,13.28125,6.125,4.75,18.78125,35.0,0,9,1
3,Belmont,25,86.86666666666666,31.666666666666668,10.366666666666667,17.9,8.9,29.666666666666668,19.6,11.6,6.666666666666667,3.8,15.7,20.0,0,11,1
4,Buffalo,30,84.81818181818181,30.272727272727273,9.696969696969697,21.181818181818183,12.575757575757576,28.515151515151516,16.636363636363637,11.727272727272727,7.242424242424242,4.090909090909091,18.333333333333332,28.0,1,6,1
5,Duke,29,83.5,30.5,7.264705882352941,22.08823529411765,13.382352941176471,28.38235294117647,15.911764705882353,13.117647058823529,9.470588235294118,6.823529411764706,15.852941176470589,35.0,1,1,3
6,F Dickinson,18,74.74193548387096,26.193548387096776,7.806451612903226,19.548387096774192,9.225806451612904,23.096774193548388,13.935483870967742,13.451612903225806,7.516129032258065,3.6451612903225805,16.741935483870968,35.0,1,16,1
7,Florida,19,68.26470588235294,23.941176470588236,8.147058823529411,17.029411764705884,10.617647058823529,22.852941176470587,12.235294117647058,11.764705882352942,7.176470588235294,3.7058823529411766,17.147058823529413,35.0,0,10,1
8,Florida St,27,74.91176470588235,25.852941176470587,7.5,21.205882352941178,11.441176470588236,25.941176470588236,12.882352941176471,13.5,6.970588235294118,4.264705882352941,19.147058823529413,35.0,0,4,2
9,Gonzaga,30,88.84848484848484,32.18181818181818,7.787878787878788,21.757575757575758,9.545454545454545,29.09090909090909,18.21212121212121,10.363636363636363,7.545454545454546,5.484848484848484,16.060606060606062,35.0,0,1,3
10,Houston,31,75.61764705882354,26.529411764705884,9.205882352941176,19.029411764705884,12.5,28.41176470588235,14.852941176470589,11.352941176470589,6.4411764705882355,4.5,19.058823529411764,35.0,0,3,2
11,Iowa,22,78.3030303030303,26.12121212121212,8.090909090909092,24.272727272727273,10.333333333333334,25.393939393939394,15.727272727272727,12.151515151515152,6.181818181818182,3.272727272727273,16.03030303030303,35.0,0,10,1
12,Kansas,25,75.38235294117646,27.294117647058822,7.235294117647059,19.441176470588236,10.382352941176471,27.676470588235293,13.323529411764707,13.382352941176471,6.852941176470588,3.9411764705882355,16.91176470588235,35.0,0,4,1
13,Kentucky,27,76.72727272727273,26.606060606060606,6.03030303030303,23.636363636363637,11.606060606060606,26.818181818181817,13.848484848484848,12.636363636363637,6.03030303030303,5.0606060606060606,16.303030303030305,35.0,0,2,3
14,LSU,26,81.375,28.5,6.84375,23.25,13.5,25.28125,13.125,13.21875,9.09375,4.3125,18.6875,35.0,0,3,2
15,Liberty,25,72.19354838709677,26.387096774193548,8.387096774193548,14.161290322580646,7.645161290322581,24.129032258064516,14.129032258064516,11.161290322580646,6.161290322580645,2.4516129032258065,15.612903225806452,31.0,1,12,1
16,Maryland,22,71.34375,25.21875,7.25,18.25,10.96875,28.1875,13.21875,13.1875,4.34375,4.75,15.46875,35.0,0,6,1
17,Michigan,28,70.38235294117646,25.764705882352942,8.058823529411764,15.470588235294118,8.294117647058824,26.558823529411764,13.970588235294118,8.823529411764707,6.147058823529412,4.205882352941177,14.088235294117647,35.0,0,2,2
18,Michigan St,28,78.82352941176471,27.764705882352942,8.294117647058824,20.0,10.823529411764707,30.08823529411765,18.941176470588236,12.852941176470589,5.235294117647059,5.470588235294118,16.91176470588235,35.0,1,2,4
19,Minnesota,21,70.79411764705883,24.705882352941178,5.235294117647059,23.764705882352942,11.441176470588236,25.58823529411765,14.882352941176471,12.0,4.794117647058823,4.0,16.176470588235293,35.0,0,10,1
20,Murray St,25,81.58620689655173,29.517241379310345,7.689655172413793,20.03448275862069,10.931034482758621,26.75862068965517,17.275862068965516,12.275862068965518,7.241379310344827,4.413793103448276,16.275862068965516,35.0,1,12,1
21,N Dakota St,16,72.29032258064517,24.580645161290324,9.709677419354838,17.548387096774192,6.580645161290323,24.193548387096776,11.32258064516129,10.64516129032258,4.741935483870968,2.4838709677419355,15.129032258064516,14.0,1,16,1
22,North Carolina,27,86.06060606060606,31.0,8.757575757575758,20.636363636363637,13.06060606060606,30.484848484848484,19.0,13.06060606060606,7.181818181818182,3.5454545454545454,17.151515151515152,35.0,0,1,2
